case_order,dataset_index,case_id,split
0,0,0273,test
1,1,0274,test
2,2,0275,test
3,3,0276,test
4,4,0277,test
5,5,0278,test
6,6,0279,test
7,7,0280,test
8,8,0281,test
9,9,0282,test
10,10,0283,test
11,11,0284,test
12,12,0285,test
13,13,0286,test
14,14,0287,test
15,15,0288,test
16,16,0289,test
17,17,0290,test
18,18,0291,test
19,19,0292,test
20,20,0293,test
21,21,0294,test
22,22,0295,test
23,23,0296,test
24,24,0297,test
25,25,0298,test
26,26,0299,test
27,27,0300,test
28,28,0301,test
29,29,0302,test
30,30,0633,test
31,31,0634,test
32,32,0635,test
33,33,0636,test
34,34,0637,test
35,35,0638,test
36,36,0639,test
37,37,0640,test
38,38,0641,test
39,39,0642,test
40,40,0643,test
41,41,0644,test
42,42,0645,test
43,43,0646,test
44,44,0647,test
45,45,0648,test
46,46,0649,test
47,47,0650,test
48,48,0651,test
49,49,0652,test
50,50,0653,test
51,51,0654,test
52,52,0655,test
53,53,0656,test
54,54,0657,test
55,55,0658,test
56,56,0659,test
57,57,0660,test
58,58,0661,test
59,59,0662,test
60,60,0663,test
61,61,0664,test
62,62,0665,test
63,63,0666,test
64,64,0667,test
65,65,0668,test
66,66,0669,test
67,67,0670,test
68,68,0671,test
69,69,0672,test
70,70,0673,test
71,71,0674,test
72,72,0675,test
73,73,0676,test
74,74,0677,test
75,75,0678,test
76,76,0679,test
77,77,0680,test
78,78,0681,test
79,79,0682,test
80,80,0683,test
81,81,0684,test
82,82,0685,test
83,83,0686,test
84,84,0687,test
85,85,0688,test
86,86,0689,test
87,87,0690,test
88,88,0691,test
89,89,0692,test
