metric,run,target_num_values,target_sse,prediction_sse,count_delta_vs_1404,target_sse_delta_vs_1404,target_matches_1404_exactly
fluid_global,Run1404,3496800,3237304.060521763,3875.694181846964,0,0.0,True
fluid_global,Run1804,3496800,3237304.060521763,2715.113776068329,0,0.0,True
fluid_global,Run1501,3496800,3237304.060521763,3570.19145899258,0,0.0,True
fluid_global,Run1502,3496800,3237304.060521763,3217.4933550929964,0,0.0,True
fluid_near_interface,Run1404,266425,1106977.8280345935,1232.4673619730022,0,0.0,True
fluid_near_interface,Run1804,266425,1106977.8280345935,1359.3597087913777,0,0.0,True
fluid_near_interface,Run1501,266425,1106977.8280345935,1816.2888704977522,0,0.0,True
fluid_near_interface,Run1502,266425,1106977.8280345935,1504.969895297533,0,0.0,True
fluid_far,Run1404,2143270,1082823.2077321059,1595.475596423662,0,0.0,True
fluid_far,Run1804,2143270,1082823.2077321059,696.8859928104005,0,0.0,True
fluid_far,Run1501,2143270,1082823.2077321059,910.1251399864677,0,0.0,True
fluid_far,Run1502,2143270,1082823.2077321059,912.2321054504798,0,0.0,True
u_fluid,Run1404,699360,457085.9274017165,79.33525832138878,0,0.0,True
u_fluid,Run1804,699360,457085.9274017165,23.468231295215173,0,0.0,True
u_fluid,Run1501,699360,457085.9274017165,29.19548852299046,0,0.0,True
u_fluid,Run1502,699360,457085.9274017165,24.922589424444837,0,0.0,True
v_fluid,Run1404,699360,473.22968051936925,0.18360027692209954,0,0.0,True
v_fluid,Run1804,699360,473.22968051936925,0.07840460809510795,0,0.0,True
v_fluid,Run1501,699360,473.22968051936925,0.1226531364848882,0,0.0,True
v_fluid,Run1502,699360,473.22968051936925,0.12924028868829424,0,0.0,True
pressure_fluid,Run1404,699360,7602.436885189398,8.712540992157434,0,0.0,True
pressure_fluid,Run1804,699360,7602.436885189398,4.097892105516041,0,0.0,True
pressure_fluid,Run1501,699360,7602.436885189398,5.07680658990215,0,0.0,True
pressure_fluid,Run1502,699360,7602.436885189398,4.961631814651514,0,0.0,True
vorticity_fluid,Run1404,699360,330672.1559780724,546.032996842838,0,0.0,True
vorticity_fluid,Run1804,699360,330672.1559780724,584.2622632290344,0,0.0,True
vorticity_fluid,Run1501,699360,330672.1559780724,775.8248982399984,0,0.0,True
vorticity_fluid,Run1502,699360,330672.1559780724,636.4900682230528,0,0.0,True
temperature_fluid,Run1404,699360,46726761.4870491,70305.31479190226,0,0.0,True
temperature_fluid,Run1804,699360,46726761.4870491,44280.58367761323,0,0.0,True
temperature_fluid,Run1501,699360,46726761.4870491,57207.92334361684,0,0.0,True
temperature_fluid,Run1502,699360,46726761.4870491,56465.696835577706,0,0.0,True
temperature_internal,Run1404,1625400,377361682.40676886,430317.9067660623,0,0.0,True
temperature_internal,Run1804,1625400,377361682.40676886,271132.7821244884,0,0.0,True
temperature_internal,Run1501,1625400,377361682.40676886,322131.2636534125,0,0.0,True
temperature_internal,Run1502,1625400,377361682.40676886,273889.6990317132,0,0.0,True
temperature_surface,Run1404,33600,5555102.440369255,11160.18292385424,0,0.0,True
temperature_surface,Run1804,33600,5555102.440369255,8442.785599670427,0,0.0,True
temperature_surface,Run1501,33600,5555102.440369255,9342.000952354656,0,0.0,True
temperature_surface,Run1502,33600,5555102.440369255,8659.575093756603,0,0.0,True
heat_flux_interface,Run1404,33600,8916460.631025651,169410.8015201967,0,0.0,True
heat_flux_interface,Run1804,33600,8916460.631025651,100464.08036112384,0,0.0,True
heat_flux_interface,Run1501,33600,8916460.631025651,90072.66073674493,0,0.0,True
heat_flux_interface,Run1502,33600,8916460.631025651,103039.48746680305,0,0.0,True
port_temperature_final,Run1404,33600,4948855.696622099,24419.621197494936,0,0.0,True
port_temperature_final,Run1804,33600,4948855.696622099,22206.32656475329,0,0.0,True
port_temperature_final,Run1501,33600,4948855.696622099,23437.662984950606,0,0.0,True
port_temperature_final,Run1502,33600,4948855.696622099,23269.39575708887,0,0.0,True
port_effective_h_final,Run1404,33600,7374485.169577932,18446.784145036774,0,0.0,True
port_effective_h_final,Run1804,33600,7374485.169577932,17080.88652565574,0,0.0,True
port_effective_h_final,Run1501,33600,7374485.169577932,15571.155623342234,0,0.0,True
port_effective_h_final,Run1502,33600,7374485.169577932,16263.001268662116,0,0.0,True
