run,checkpoint,case_id,query_count,Kq_min,Kq_max,Kq_mean,Kq_q10,Kq_q90,Kq_histogram
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0273,8192,2,7,3.56201171875,2.0,5.0,"{""2"": 1005, ""3"": 2774, ""4"": 3282, ""5"": 1068, ""6"": 61, ""7"": 2}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0274,8192,2,6,3.43359375,2.0,5.0,"{""2"": 989, ""3"": 3637, ""4"": 2665, ""5"": 827, ""6"": 74}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0275,8192,1,7,3.7164306640625,3.0,5.0,"{""1"": 161, ""2"": 535, ""3"": 3032, ""4"": 2716, ""5"": 1242, ""6"": 498, ""7"": 8}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0276,8192,2,6,3.465576171875,3.0,5.0,"{""2"": 626, ""3"": 4152, ""4"": 2525, ""5"": 752, ""6"": 137}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0277,8192,2,7,3.6708984375,3.0,5.0,"{""2"": 791, ""3"": 2586, ""4"": 3396, ""5"": 1370, ""6"": 45, ""7"": 4}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0278,8192,2,6,3.3408203125,2.0,4.0,"{""2"": 1176, ""3"": 3782, ""4"": 2563, ""5"": 608, ""6"": 63}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0279,8192,2,6,3.636962890625,3.0,4.0,"{""2"": 215, ""3"": 3493, ""4"": 3667, ""5"": 685, ""6"": 132}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0280,8192,1,6,3.2423095703125,2.0,4.0,"{""1"": 74, ""2"": 1854, ""3"": 3046, ""4"": 2491, ""5"": 685, ""6"": 42}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0281,8192,2,6,3.1429443359375,2.0,4.0,"{""2"": 2137, ""3"": 3290, ""4"": 2224, ""5"": 539, ""6"": 2}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0282,8192,2,7,3.5791015625,3.0,5.0,"{""2"": 521, ""3"": 3660, ""4"": 3036, ""5"": 715, ""6"": 241, ""7"": 19}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0283,8192,2,6,3.4534912109375,2.0,4.0,"{""2"": 879, ""3"": 3681, ""4"": 2819, ""5"": 664, ""6"": 149}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0284,8192,2,7,3.4564208984375,3.0,4.0,"{""2"": 324, ""3"": 4565, ""4"": 2615, ""5"": 618, ""6"": 68, ""7"": 2}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0285,8192,2,6,3.3701171875,3.0,4.0,"{""2"": 430, ""3"": 4874, ""4"": 2396, ""5"": 410, ""6"": 82}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0286,8192,1,6,3.237548828125,2.0,4.0,"{""1"": 319, ""2"": 1279, ""3"": 3416, ""4"": 2575, ""5"": 521, ""6"": 82}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0287,8192,1,6,3.3363037109375,2.0,4.0,"{""1"": 87, ""2"": 1091, ""3"": 3635, ""4"": 2822, ""5"": 473, ""6"": 84}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0288,8192,2,6,3.2913818359375,2.0,4.0,"{""2"": 1034, ""3"": 4346, ""4"": 2280, ""5"": 455, ""6"": 77}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0289,8192,2,6,3.5115966796875,3.0,4.0,"{""2"": 122, ""3"": 4479, ""4"": 2939, ""5"": 582, ""6"": 70}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0290,8192,2,6,3.196044921875,2.0,4.0,"{""2"": 1208, ""3"": 4519, ""4"": 2122, ""5"": 337, ""6"": 6}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0291,8192,2,6,3.38330078125,3.0,4.0,"{""2"": 708, ""3"": 4185, ""4"": 2818, ""5"": 413, ""6"": 68}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0292,8192,2,6,3.4661865234375,2.0,5.0,"{""2"": 1017, ""3"": 3290, ""4"": 2967, ""5"": 885, ""6"": 33}"
