run,Kq,query_count,fraction,percent,total_query_assignments
Run 1501,1,1758,0.002384440104166667,0.23844401041666666,737280
Run 1501,2,106121,0.14393581814236112,14.39358181423611,737280
Run 1501,3,349273,0.47373182508680556,47.37318250868056,737280
Run 1501,4,226805,0.3076239691840278,30.76239691840278,737280
Run 1501,5,46687,0.06332329644097222,6.332329644097222,737280
Run 1501,6,6498,0.0088134765625,0.88134765625,737280
Run 1501,7,129,0.00017496744791666667,0.017496744791666668,737280
Run 1501,8,9,1.220703125e-05,0.001220703125,737280
Run 1501,9,0,0.0,0.0,737280
Run 1501,10,0,0.0,0.0,737280
Run 1501,11,0,0.0,0.0,737280
Run 1501,12,0,0.0,0.0,737280
Run 1502,1,200,0.0002712673611111111,0.027126736111111112,737280
Run 1502,2,69439,0.09418267144097223,9.418267144097221,737280
Run 1502,3,387411,0.5254597981770833,52.545979817708336,737280
Run 1502,4,221204,0.3000271267361111,30.00271267361111,737280
Run 1502,5,54626,0.07409125434027777,7.409125434027778,737280
Run 1502,6,4357,0.005909559461805556,0.5909559461805556,737280
Run 1502,7,43,5.832248263888889e-05,0.005832248263888889,737280
Run 1502,8,0,0.0,0.0,737280
Run 1502,9,0,0.0,0.0,737280
Run 1502,10,0,0.0,0.0,737280
Run 1502,11,0,0.0,0.0,737280
Run 1502,12,0,0.0,0.0,737280
