run,checkpoint,Kq,query_count,fraction,percent,total_query_assignments
Run 1501,best-field e4689,1,233,0.0025282118055555557,0.2528211805555556,92160
Run 1501,best-field e4689,2,13274,0.14403211805555555,14.403211805555555,92160
Run 1501,best-field e4689,3,43354,0.47042100694444444,47.04210069444444,92160
Run 1501,best-field e4689,4,28799,0.31248914930555555,31.248914930555557,92160
Run 1501,best-field e4689,5,5645,0.06125217013888889,6.125217013888889,92160
Run 1501,best-field e4689,6,828,0.008984375,0.8984375,92160
Run 1501,best-field e4689,7,27,0.00029296875,0.029296875,92160
Run 1501,best-field e4689,8,0,0.0,0.0,92160
Run 1501,best-field e4689,9,0,0.0,0.0,92160
Run 1501,best-field e4689,10,0,0.0,0.0,92160
Run 1501,best-field e4689,11,0,0.0,0.0,92160
Run 1501,best-field e4689,12,0,0.0,0.0,92160
Run 1502,best-field e4794,1,22,0.00023871527777777777,0.023871527777777776,92160
Run 1502,best-field e4794,2,8533,0.09258897569444445,9.258897569444445,92160
Run 1502,best-field e4794,3,48766,0.5291449652777778,52.91449652777778,92160
Run 1502,best-field e4794,4,27382,0.2971137152777778,29.71137152777778,92160
Run 1502,best-field e4794,5,6903,0.07490234375,7.490234375,92160
Run 1502,best-field e4794,6,549,0.00595703125,0.595703125,92160
Run 1502,best-field e4794,7,5,5.425347222222222e-05,0.005425347222222222,92160
Run 1502,best-field e4794,8,0,0.0,0.0,92160
Run 1502,best-field e4794,9,0,0.0,0.0,92160
Run 1502,best-field e4794,10,0,0.0,0.0,92160
Run 1502,best-field e4794,11,0,0.0,0.0,92160
Run 1502,best-field e4794,12,0,0.0,0.0,92160
