model,epoch,is_selected_common_epoch,is_best_validation_epoch,loss_total,train_volume_mse,val_volume_mse,train_band_mse,val_band_mse
classic,500,True,False,0.013985153198951767,0.009434902194946531,0.011512434813711378,0.027635904389714437,0.030917066666815016
classic,1000,True,False,0.007763101196005231,0.005250129237692192,0.007601441829292862,0.015302016172144148,0.02045284636594631
classic,1500,True,False,0.005229140729421661,0.0034251991127218517,0.007657949929987942,0.010640965159686785,0.022122925519943236
classic,2000,True,False,0.003964131839928173,0.002569275298131206,0.006658322405483988,0.008148700986353178,0.01772416471331208
classic,2440,False,True,0.0035743847844146547,0.0023678826473692736,0.006291010341158619,0.007193890757977017,0.016685650690838143
classic,2500,True,False,0.0034617945086210964,0.0022781858940130817,0.0064196721961100895,0.0070126200774832375,0.01819863694685477
dense,500,True,False,0.005613539101822036,0.0037867585699709635,0.009207086734197758,0.011093879834054009,0.030790020966971362
dense,1000,True,False,0.0018576085079638732,0.0012486211906271006,0.005977042447085734,0.003684570196838606,0.02262354460027483
dense,1500,True,False,0.001605891772279782,0.0011211357803808319,0.0055290557444095615,0.003060159498145656,0.020848784181806777
dense,2000,True,False,0.0009702172108171951,0.000640028905340288,0.005447544157505035,0.0019607820518551364,0.019877483944098155
dense,2475,False,True,0.0020556074899754353,0.001280957367763948,0.004520878333736349,0.004379557575734835,0.018428012618312128
dense,2500,True,False,0.0007059378882071801,0.00047458734796949166,0.004708388268395707,0.0013999894283534516,0.018426136313765138
