endpoint,layout_index,layout_mean_dense_minus_classic_volume_rmse_mps,estimate_mean_dense_minus_classic_volume_rmse_mps,bootstrap_lower_2_5_percent_mps,bootstrap_upper_97_5_percent_mps,replicates,seed,descriptive_scope
best_validation,1,-0.006114024358491103,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,11,-0.006739807780832052,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,15,-0.007393716524044673,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,16,-0.009770176683863005,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,17,-0.007897724087039629,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,23,-0.008931090744833151,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,31,-0.007180190645158291,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,40,-0.008728302083909512,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,42,-0.02058686874806881,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,43,-0.006688716821372509,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,53,-0.005280986117819945,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,57,-0.008113194877902666,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,60,-0.004928129414717357,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,61,-0.007048008032143116,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,69,-0.005498092621564865,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,76,-0.009675083992381891,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,105,-0.00447990217556556,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,109,-0.004235735163092613,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,122,-0.01127239316701889,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,129,-0.008729857703049978,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,137,-0.005442919209599495,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,142,-0.008070225827395916,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,154,-0.006206218463679154,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,158,-0.006877216200033824,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,160,-0.009225202724337578,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,162,-0.025571304994324844,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,168,-0.01372978494813045,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,169,-0.007129365888734658,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,172,-0.0039307015637556715,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
best_validation,182,-0.013974818090597788,-0.008648325321781968,-0.010454224354535753,-0.007177524937239168,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,1,-0.008102641440927982,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,11,-0.006127784339090188,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,15,-0.007008843589574099,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,16,-0.010342780655870834,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,17,-0.00876091451694568,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,23,-0.008170627988874912,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,31,-0.0056165702020128565,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,40,-0.007506074383854866,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,42,-0.01808450308938821,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,43,-0.006318805118401845,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,53,-0.0069105373695492744,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,57,-0.010923945344984531,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,60,-0.00480694913615783,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
epoch2500_validation,61,-0.009655267931520939,-0.00915698278695345,-0.01061516576938124,-0.007885138428666527,10000,42,held-out layouts only; not population-generalization
